Arabic Sentence,English Translation
دار الحديث في هوليوود عن تصوير فيلم يصور صعود وسقوط مملكة صدام حسين,The Hollywood talk about filming the rise and fall of Saddam Hussein's kingdom.
الدراسات أثبتت أن دماغ المرأة مؤهل أكثر للتفاوض من دماغ الرجل,Studies have shown that a woman's brain is more qualified to negotiate than a man's.
كانت الحجرة مظلمة، والصمت عميقا لا يقطعه سوى تردد أنفاس زوجته,"The room was dark, and the silence was deep, but his wife's breathing."
إلى جانب عمله الاكاديمي عمل بين عامي ١٩٩٣ و١٩٩٩ مستشارا اقتصاديا لوزير المال اللبناني,"In addition to his academic work, he worked between 1993 and 1999 as economic adviser to the Lebanese Minister of Finance."
نهنئ حركتنا النسائية بهذا المكسب الديمقراطي الهام الذي يعزز من قوة المجتمع المدني البحريني,We congratulate our women &apos; s movement on this important democratic gain that strengthens the strength of Bahraini civil society.
وصل إلى الطريق العام الذي لا يبعد كثيرا عن منزله,He got to the highway that's not far from his house.
المقابلات التي أجرتها اللجنة كانت شكلية وسطحية وليست بالمستوى التقني والعلمي المطلوب لتحديد قدرات المرشحين وكفاءاتهم للتمكن من تقييمهم,The Commission &apos; s interviews were formal and superficial and not at the technical and scientific level required to determine candidates &apos; abilities and competencies in order to be able to assess them
سيتعايش الناس مع الأسعار الجديدة، وسيضعون خيارات معينة تتناسب مع ظروفهم المالية,"People will live with new prices, and they will make certain choices that are appropriate to their financial circumstances."
قال المصدر إن رجل الاعمال كارلو دكاش سيعود إلى لبنان برا عبر الأردن,The source said that Carlo Dakash's businessman would return to Lebanon by road through Jordan.
الكلب يبتعد باحثا عن شيء ما في الأرض بين النباتات والشجيرات,The dog is moving away looking for something in the ground between plants and bushes.
ثابرت على الاتصال به على مدار الأسبوع وفي أوقات مختلفة علها تنجح في الوصول إليه ولكن هاتفه النقال;ظل;مقفلا,"I've been calling him around the week, and at different times, you can get to him, but his cell phone is locked."
افترقتا على أمل اللقاء بعد الانتهاء من تحضير;الواجبات;الدراسية,"They split up hoping to meet after the preparation of the homework, the study."
الآن ازدادت حوادث السرقة بسبب الظلام الذى البلاد شمل,Now there's been an increase in thefts due to the darkness in the country.
يمكن استئناف المفاوضات من دون تأخير,Negotiations can be resumed without delay
كنت أعبد صنما من ملح قذر أمطره الموت فذاب,"I used to worship a pit of filthy salt, rained death and melted."
ألا تعلم الهزل لا يليق برجل مثلي مكلف بمهمة دولية كلها جد,"Don't you know, joking doesn't suit a guy like me who's in charge of a whole international mission."
كيف للاموات ان تفتح لكم باب الحياة وهم لا حول لهم ولا;قوة,How can the dead open the door to life when they have no power?
قطع المسافة في سباحة متواصلة دون توقف استغرقت ٤٢ ساعة مسجلا بذلك رقما قياسيا في السباحة الطويلة,"It took 24 hours, with a record long swim."
لم أغادر بلادي طيلة حياتي,I haven't left my country in my entire life.
زعم أن لديه أمرا هاما لا يقبل التأجيل,He claimed he had something important that couldn't wait.
إلغاء الحبس بجرائم النشر في مصر انعكس إيجابيا على العرب الصحفيين,The abolition of detention for publishing crimes in Egypt has had a positive impact on Arab journalists.
لا يزال متمسكا بمنصبه على رغم الضغوط المتزايد;لحمله على;الاستقالة,He's still holding on to his position despite the growing pressure to get him to resign.
أرجو للجرحى والمصابين الشفاء العاجل,I hope the wounded and injured heal quickly.
كان اعتذاره خاليا من أى نبرة ندم،;نطق باعتذاره وكأنه يؤدى دورا فى تمثيلية,"His apology was devoid of any tone of regret, and his apology sounded like he was playing a role in acting."
المسرح الجيد يحافظ على المعادلة الصعبة بين الفن والجمال من جهة، والقرب من المتلقي والجاذبية التي تشده من جهة أخرى,"A good theater preserves the difficult equation between art and beauty on the one hand, and proximity to the recipient and gravity on the other."
عليكم ان تتحضروا لتنجحوا في الدفاع عن قيم التسامح والمحبة والعيش المشترك التي تشكل جميعها جوهر هذا الوطن,"You must be prepared to succeed in defending the values of tolerance, love and shared living, all of which are the essence of this country."
قال المحامي: إني أعترض على هذه الأسئلة التي لا تمس جوهر القضية,Counsel says I object to these questions that do not affect the substance of the case.
اعتدوا بالضرب على المصور وقاموا بتكسير الكاميرا الخاصة;به,They beat up the photographer and broke his camera.
احتضنه وقبله على جانبى وجهه، ثم صاح عاليا بلهجة ريفيه: ربنا يحفظك وينصرك ويخليك,"He hugged him and kissed him on both sides of his face, and then cried out loud with a rural accent: ""Our Lord will keep you, and help you, and let you go."""
يجب تطوير القطاع المصرفي ووضعه في مستوى الاداء العالمي وزيادة القدرة التنافسية في الداخل,The banking sector must be developed and placed at the global level of performance and increased internal competitiveness
بيتها الصغير المتواضع لا يحتاج إلى جهد كبير في ترتيبه وتنظيفه,Her humble little house doesn't need much effort in arranging and cleaning.
من هذا المنطلق أدعو هيئة السوق لفتح تحقيق عند حدوث هزات في السوق,"From this point of view, I call on the market board to open an investigation when there are vibrations in the market."
اتهمهم بتدبير انقلاب ضد النظام الحاضر لحساب دولة أجنبية,He accused them of organizing a coup against the regime currently in the hands of a foreign state.
أعرف أنك بقدرتك العقلية الفائقة تستطيع أن بالأمور تتحكم,"I know that with your superior mental ability, you can control things."
المشكلة هي مشكلة أن الخريجين عددهم كبير، ففي الأردن في السنة الواحدة يتخرج حوالي ألف أو أكثر بقليل,"The problem is that there are many graduates. In Jordan, a year, about a thousand or more graduate."
طالب الفلسطينيين بأن يكونوا عصبة واحدة في مواجهة المؤامرات والاعتداءات الإسرائيلية,The Palestinians demanded that they be one league in the face of Israeli conspiracies and attacks.
جهاد شاب فلسطيني من كوادر فتح، من سكان مخيم عين الحلوة,"A Palestinian youth jihad from Fatah cadres, residents of Ein el-Hilweh camp"
إن المعركة الحقيقية لا تكمن في مواجهة العولمة كعملية تاريخية، وانما ينبغي أن تكون ضد نسق القيم السائد الذي هو في الواقع إعادة إنتاج لنظام الهيمنة القديم,"The real battle lies not in the face of globalization as a historical process, but in the face of the prevailing order of values, which is in fact a reproduction of the old system of domination."
بدأت أضحك رغم مرارة السخرية,I'm laughing at the bitter irony.
كيف حقا تتحمل الدنيا كل هذه القصص المؤلمة؟,How can the world really endure all these painful stories?
كانت الساعة تقارب الحادية عشرة أو الثانية عشرة عندما اقتربنا من الحدود,It was about 11 or 12 when we approached the border.
بذل مزيد من الجهود لاستئناف عملية السلام,Further efforts to resume the peace process
ما زال أمامنا طريق طويلة حتى تبدأ العراق بجني ثمار السلام والنجاح,We still have a long way to go until Iraq begins to reap the fruits of peace and success.
إننا هنا للدفاع عن حوزة أرضنا واستقلال بلادنا;وهويتنا;الأصيلة,We are here to defend the possession of our land and the independence of our country; our original identity;
ارتفعت الوفيات بين صفوفهم نتيجة الأمراض والقذارة وقلة التغذية,"Deaths among them have increased as a result of disease, dirt and undernutrition."
ما زال يذكر كل الصور التي كانت معلقة على جدران غرفة الجلوس,He still remembers all the pictures that were hanging on the walls of the living room.
اقترح عليه التعاون في مكافحة الإرهاب الدولي، معتبرا أنه ليس أمام روسيا من خيار سوى المشاركة في التحالف,"He suggested cooperation in combating international terrorism, considering that Russia had no choice but to participate in the coalition."
شاهد على القناة الرياضية مباراة كاملة فى مصارعة المحترفين,Watch the gym. Full game of professional wrestling.
كان حزب البعث يدير كافة أوجه الحياة في العراق إلى درجة أن كل حي كان توجد فيه خلية بعثية,The Baath Party managed all aspects of life in Iraq to the point where every neighborhood had a resurrection cell.
صارت كل جماعة من الغواصات تشترك فى هجوم واحد فى وقت واحد على فريسة واحدة,Each group of submarines became involved in one attack at a time on one prey.
سرعان ما تطرق الحديث إلى إمكانات تطوير الأوبرا,Soon the talk touched on the possibilities of developing the opera.
كنت مشتاقا جدا لسماع صوتها,I was so longing to hear her voice.
حذر العلماء من ان كوارث المد البحري قابلة للتكرار خلال القرن الحادي والعشرين,Scientists warned that tidal disasters were replicable during the twenty-first century.
وجدت زهرة نفسها تحملق فى الست لولا الشقراء الملفوفة القوام المتوردة الوجه ترتدى روبا من القطن,She found herself staring at the six if it wasn't for the blonde wrapped up in a pink face wearing a cotton ruba.
نسأل االله أن يأتي الشباب المسلم الموعود ليخلصوا العالم من هذا الذئب المفترس,We ask God that the promised Muslim youth come to rid the world of this predatory wolf.
أحدهم يفتح فمه، والآخر يجلب له قطعة من الطعام ويضعها في فمه;,"One opens his mouth, the other brings him a piece of food and puts it in his mouth;"
ظل راكعا مغمض العينين فترة، ثم قام وفتح عينيه وكأنما صحا من النوم,"He was kneeling in the eye for a while, and then he opened his eyes like he was asleep."
تجمع العشرات من أبناء وصبايا الحي وصعدوا الى سطح;العمارة,They gather dozens of kids and boys in the neighborhood and climb to the roof of the building.
لم يرد على كلامهم، وإنما اكتفى بالابتسام,He didn't answer them. He just smiled.
هم يعتقدون أن هناك أجندة خفية لدى الحكومة;,They think there's a hidden agenda for the government;
لم تكن بينهما أسرار، ولكن الزوجة العجوز كانت تحتفظ بصندوق فوق أحد الأرفف، وحذرت زوجها مرارا من فتحه,"They had no secrets, but the old wife kept a box above one of the shelves, and she warned her husband not to open it."
الحكاية عينها تتكرر مع كل محاولة للعيش المستقل,The same story is repeated with every attempt to live independently.
أنا من أسرة فلسطينية فقيرة؛ والدي عامل بائس، يكسب رزقه في الفلاحة والزراعة أحيانا,"I'm from a poor Palestinian family; my father's a miserable worker, making a living in farming and farming sometimes."
لا بد من عمل، لا بد من وسيلة لكسب العيش,There's gotta be work. There's gotta be a way to make a living.
يا عماه هم أولادك منذ اليوم أرجو أن تشرف على تربيتهم;بنفسك,"Uncle, they've been your children since today. Please supervise their upbringing yourself."
هل أنت واثق أن بمقدورك دفع ثمن هذا العشاء؟,Are you sure you can pay for this dinner?
بدأت إجراءات التأمين مبكرا: تم فحص المبنى بأجهزة متطورة اخترقت الجدران بأشعة إكس للتأكد من خلوها من أية أجسام غريبة مدفونة;,Insurance procedures were initiated early: the building was checked with sophisticated X-ray devices to ensure that it was free of any foreign objects buried;
الإسلام يقر المواطنة والمساواة مع أتباع العقائد الأخرى,Islam recognizes citizenship and equality with followers of other faiths
كان يقرع الباب الداخلي الفاصل بين الحجرتين قرعا خفيفا,"He was knocking on the inner door between the two rooms, lightly knocking."
وقد قُتل المهاجم بعد أن أطلق المسلحون النار عليه عند الحاجز,The assailant was killed after the gunmen shot him at the barricade.
بعض الناس يرى أنه لا قيمة من وراء عضوية مصر في هذه الإتحادات,Some people see no value behind Egypt's membership in these unions.
وصل القطار فركب كل منهم فى عربة مختلفة,"The train has arrived, and each of them has boarded in a different vehicle."
الآن المملكة تنتج قرابة ١١ مليون برميل يوميا,Now the kingdom produces about 11 million barrels a day.
إن رؤية الهلال شرط وضعه الشرع الحنيف لتحديد أول أيام رمضان,Seeing the crescent is a condition laid down by the noble law to determine the first days of Ramadan.
يظن نفسه باشا، وقد مضى عهد الباشوات,"He thinks he's Pasha, and it's past the Bashwat era."
كان زوج خالتي يمارس رقابة شديدة على ما نشاهده في التلفاز,My Aunt's husband was very vigilant about what we were watching on TV.
يجب عرض المشروع على مجلس الشورى,The project should be presented to the Advisory Council.
ستظل غايتك المنشودة هى العثور على ابن الحلال,You're still gonna find the son of a bitch.
لن تجد شيئين بينهما ارتباط وثيق كارتباط التربية بالتعليم,You're not gonna find two things that are closely related to education.
لم أفهم معنى كلامك، أرجو التوضيح,I don't understand what you mean. Please explain.
كانت لا تتوقف عن كيل الانتقادات لزوجها,She wouldn't stop judging her husband.
عندما استيقظ بعد الظهر كان كل شيء في مجراه الطبيعي بيد أن الحر خيم على الغرفة لإغلاقه النافذة,"When he woke up in the afternoon, everything was in his natural course, but the heat was on the room to close the window."
كل هذه الأرقام سندخلها إلى الحاسب لنعرف إذا كانت لها دلالة إحصائية,All these numbers we're gonna get into the computer to see if they're statistically significant.
الصديق وقت الضيق» في هذا الزمن يصح تعديله ليصير الصديق من كفاك شره وقت الضيق»,"A friend in times of distress, in times of distress, can be adjusted to make a friend of yours enough to be evil in times of distress."
ماذا يعني انخفاض الدولار أمام اليورو؟,What does a dollar drop in front of the euro mean?
أكمل طريقه بكل قوة، واتخذ قراراته بكل عزم,"He went his way hard, made his decisions with determination."
أنا أعمل كثيرا لدرجة أننى فى عطلة نهاية الأسبوع أحس وكأننى طفل فى فسحة المدرسة,I work so much that on the weekend I feel like a kid in school.
لولا النوم لما استطاع الإنسان أن يجدد نشاط خلاياه الحيوية ولا أن يعيش عيشة مستقرة,"If it wasn't for sleep, man wouldn't be able to regenerate his vital cells or live a stable life."
القوي يسيطر على الضعيف، ويعمل على سحقه واستعباده والغني يستغل الفقير,"The strong take control of the weak, crush it, enslave it, and the rich take advantage of the poor."
جرى تبادل إطلاق نار كثيف بين المتطرفين وبعض عناصر القوات الحكومية;,There was a heavy exchange of fire between extremists and some elements of government forces;
البشرية ليست بحاجة إلى مزيد من الكراهية والحروب,Humanity doesn't need any more hatred and war.
يبحث المهاجر عن المال أو الأمان أو عن الاثنين معا,The immigrant is looking for money or safety or both.
يجب ممارسة بعض الحركات الرياضية البسيطة مثل التي نجدها منتشرة في عادات شعوب شرق آسيا,"Some simple sports moves, like what we find, must be practised in the customs of the East Asian people."
اكيد كلنا تعودنا على اكلاتنا التقليدية;,Of course we're all used to our traditional foods;
يبدو انها استسلمت تماما ورفعت الراية البيضاء;,Looks like she totally gave up and raised the white flag;
التدخين أخطر من أسلحة الدمار الشامل,Smoking is more dangerous than weapons of mass destruction.
اعترف بسرقة عشرة منازل بالاشتراك مع شاب آخر,He confessed to stealing ten houses in association with another guy.
سمعت الأم صغيرها ، فاقتربت إليه مندهشة بجرأته وقدرته على صياغة الكلام;,"The mother heard her baby, and came to him surprised by his courage and his ability to formulate words;"
إنه ضد العنف والتطرف، كما أنه ضد الظلم والاستبداد,"It's against violence and extremism, and it's against injustice and tyranny."
الكمبيوتر ذو ذاكرة حديدية لا تخبو ولا يعتريها النسيان,A computer with an iron memory doesn't hide and forget.
الحادث نجم عن فقدان السائق، الذي كان تحت تأثير الخمر والأدوية، السيطرة على السيارة، وهو يقود;بسرعة كبيرة,"The accident was caused by the loss of the driver, who was under the influence of booze and medicine, control of the car, and he's driving too fast."
هذه الحملة تستهدف الاعراب عن التعاطف مع المستهلكين في منطقة الشرق الأوسط ممن شعروا بالاساءة,This campaign is aimed at expressing sympathy for consumers in the Middle East who have been abused.
هل فاتن تعرف أنك لا تكلم أحدا من أهلك؟,You know you don't talk to any of your parents?
اكتشف القائمون على أحد مواقع التوظيف على الإنترنت أن هناك ١٥٠٠ متقدم لطلب وظيفة يحملون شهادات ودرجات علمية مزيفة,"The recruiters on one of the Web sites discovered that there were 1,500 applicants for a job with false degrees and degrees."
لم أصدق عيني وأنا أرى هذا الاقبال الجماهيري على مسرحيتي,I didn't believe my eyes when I saw this audience on my play.
إنها إحدى أقوى المدافعين في الكونغرس عن ضحايا الاعتداء الجنسي في الجيش,She's one of the most powerful advocates in Congress for victims of sexual assault in the army.
حالات الحب لا ينالها إلا السعيد حقا في الدنيا والآخرة,Love can only be truly happy in the world and the afterlife.
حين أواجه معضلات جديدة، يستعد عقلي للبحث عن مكان أعيش فيه لحظات من الهدوء النسبي,"When I face new dilemmas, my mind prepares to find a place to live, moments of relative calm."
كان هدفهم غير المعلن نهب ثروات المسلمين,Their undeclared aim was to plunder the wealth of Muslims.
أنت منفعل وغاضب، فأرجوك أن تهدأ وتناقش الأمور بروية,"You're excited and angry, so please calm down and discuss things slowly."
وسعيت في طلب الرزق حتى أصبحت غنيا فوسوس إلي الشيطان أن أغريها بالمال;,"I sought a livelihood until I became rich, a philanthropist to the devil to lure her with money;"
هو لا يحتمل أن ترتبط ابنته بعلاقة خارج الزواج,He can't possibly have an extramarital relationship with his daughter.
أعلن السيد المدير عن اجتماع طارئ حضره جميع العمال دون استثناء;,The Director announced an emergency meeting attended by all workers without exception;
إنه يتعلم الأرمنية والروسية من ليزا، التي صاربإمكانه أن يسرق منها بعض القبلات بين الحين والآخر,"He's learning Armenian and Russian from Lisa, from which he can steal some kisses every now and then."
لا أريد أن أجلب العار على أهلي,I don't want to shame my parents.
إن أسعار الشقق سوف تشهد ارتفاعا ملحوظا خلال;الفترة;المقبلة,Apartment prices will rise significantly over the next period.
رأيته قادما من بعيد يحمل أكياسا ورقية فيها بعض;الفاكهة;والخضار,I saw him coming from afar with paper bags with some fruit and vegetables.
كانت على طرفى الكوبرى أربعة أعمدة معدنية، عمود فى كل ناحية، أعلى كل منها لمبة;,"The two sides of the bridge had four metal columns, a column on each side, the top of each bulb;"
تمر الأحداث بذهنها كشريط سينمائي تستعيده مرة بعد أخرى,It's going through her mind like a movie tape that she gets back again and again.
استغفرت االله وهي تفكر بأن أحزانها هذا العام تعادل أحزان كل البشر على وجه الأرض;,I beg the forgiveness of God as she thinks that her sorrows this year are equal to those of all human beings on earth;
كان للمرأة دور على امتداد التاريخ الإسلامي، وان سجلات أمانة الأوقاف تشير إلى أن المرأة كانت من أوائل الواقفين منذ أوائل القرن التاسع عشر;,"Women have played a role throughout Islamic history, and the records of the Waqf Secretariat indicate that women have been among the first to stand since the early 19th century;"
لا يمكنني ان أنتقد اي مدرب لان اخلاقي لا تسمح لي بذلك,I can't criticize any coach because my manners won't let me.
المدرب قدم استقالته وإدارة النادي رفضت الاستقالة,The coach quit and the club administration refused to quit.
انفجر ضاحكا حتى سالت دموعه;,He blew up laughing until his tears came out;
الناس تعتقد أن هناك المزيد من فرص النمو مع توسع الشركة في اسواق جديدة;,People think there's more growth opportunities as the company expands into new markets;
إن الحوار المطلوب يجب أن ينطلق من معطيات القرن;الحادي;والعشرين,The required dialogue must be based on the realities of the twenty-first century.
الحمل هو الطريقة الأضمن لاستمرار الحياة الزوجية,Pregnancy is the surest way to continue a married life.
حقق الديمقراطي جيم ويب تقدما بنحو ثمانية الاف صوت على الجمهوري المنتهية ولايته جورج الن، لكن الاخير طالب باعادة فرز الأصوات;,"Democracy, Jim Webb, has made progress with about 8,000 votes on the outgoing Republican George Allen, but the last one has demanded a recount;"
فاز فريق بوكا جونيور بكأس أميركا الجنوبية (كوبا أميركا) للمرة الثانية على التوالي;,Boca Junior won the South American Cup for the second time in a row;
اكد في اكثر من مناسبة على ضرورة اعادة تنظيم العمل;الحزبي,"On more than one occasion, he stressed the need to reorganize the work; the party."
إن أنت قتلتني لن تفيد في شيء بالعكس سوف تلف حبل المشنقة حول رقبتك,"If you kill me, you're not gonna do anything backwards. You're gonna ruin your noose around your neck."
لا يجب أن تكون عندك توقعات كبيرة في البداية,You don't have to have big expectations at first.
هذا موضوع مفيد وقيم كباقي موضوعاتك الرائعة,This is as useful and valuable as the rest of your wonderful subjects.
لقد خرج مع ذلك البكاء كل ما في قلبي من كفر ونفاق وفساد، وأحسست بأن الإيمان بدأ يسري بداخلي,"He went out with that crying, all that disbelief, hypocrisy and corruption in my heart, and I felt that faith was starting to flow into me."
إن مصطلح;حرية التعبير فضفاض ينبغي تحديده,The term freedom of expression is loose and should be defined.
كانت طاقته الجبارة على العمل تثير دهشة أساتذته وإعجابهم,His great energy for work was surprising to his teachers and their admiration.
سمع بوضوح هذه المرة شيئا يتحرك فى الظلمة بجواره,He heard clearly this time something moving in the dark next to him.
أنت أناني لا ترعى إلا مصلحتك الشخصية,You're selfish. You only care for your own good.
قلوبنا دايما وياك كابتن وندعيلك واالله يردك انت ومريومه;سالمين,"Our hearts are always, and we pray for you, and God will bring you, and his melody, peaceable."
ابتعدوا عني، من يحاول الاقتراب سأضربه بهذه العصا لأهشم رأسه,"Get away from me. Whoever's trying to get close, I'm gonna hit him with this stick to smash his head."
الخط العربي ليس فقط فنا من الفنون الراقية التي تسمو بالروح وتهذب النفس، بل هو صنعة وحرفة,"The Arabic line is not only an art of fine art that transcends spirit and self-politeness, but is a work of art and crafts."
لا يحتاج هذا الأمر إلى ذكاء كبير;,This doesn't need much intelligence;
زيارتنا الى هذا البيت الكبير زيارة ودية وطبيعية,Our visit to this big house is friendly and normal.
شهر سبتمبر كان ممطرا بشكل غير عادي وكانت نسب نزول الأمطار قياسية واستثنائية;,September was unusually rainy and the rainfall rates were record and exceptional;
هكذا الإنسان ما بين لحظة وأخرى تراه ينقلب من حالة إلى نقيضها,"So every once in a while, a man turns from one situation to another."
لا لاضطهاد الأقليات المسلمة في الغرب ونعم لبروتوكول يحترم الخصوصية الثقافية ضمن احترام النظام العام في البلدان المضيفة;,No persecution of Muslim minorities in the West and yes to a protocol respecting cultural privacy within respect for public order in host countries;
أنت إذن عضو قيادي في هذا الحزب,So you're a leading member of this party.
يحرص بعضهم على ارتداء البشت حتى وهو يركب الدراجة ذاهبا إلى الوجهة التي يريدها;,Some of them make sure to wear pasht even as they ride the bike to the destination they want;
الكثير من الأجنبيات يتعلمن الرقص الشرقي ويحترفن هذا الفن وينافسن حتى الراقصات المصريات,"A lot of foreign women are learning to dance east, and they're doing this art, and they're competing even with Egyptian dancers."
وإذا قيل له ارجع فليرجع ولا حرج في ذلك,"And if he is told to come back, let him come back, and there is no shame in it."
مسيرة بوتين منذ توليه رئاسة روسيا يمكن تلخيصها في عبارة واحدة هي الهجوم على الهيمنة الأمريكية على العالم,Putin's march since he assumed Russia's presidency can be summarized in one phrase: the attack on American domination of the world.
حاول التوجه للنوم في وقت محدد يوميا، فهذا كفيل بأن يقلل الأرق وتتعود ساعة جسمك البيولوجية على وقت محدد للنوم,Try to go to bed at a specified time every day. It'll reduce the insomnia and get used to your body clock on a fixed time for sleep.
ينصح الاطباء كل من يعاني من أمراض الكبد بعدم تناول السبانخ;,Doctors advise all those suffering from liver disease not to take spinach;
أكبر عدد يمكن تصوره من الشباب أكبر عدد ً تستطيع خشبة المسرح أن تتحمله الأرض تمتلئ تماما;بأجسام;النائمين,"As many young people as the stage can afford, the earth is full of bodies; sleepers."
ان شرب عصير الرمان يساعد على التخلص من السموم في الجسم ويعالج الإسهال والتهاب المعدة والصداع,"Drinking pomegranate juice helps get rid of the toxins in the body and treat diarrhea, stomach infection and headaches."
يرى بعض مستخدمي الأنترنت أن هذه الأسعار معقولة,Some Internet users think these prices are reasonable.
اذهب الى سوريا واجتمع مع الرئيس السوري اذ من غير المنطقي ان نتواصل عبر الهاتف,"Go to Syria and meet with the Syrian president, so it doesn't make sense to communicate over the phone."
استقال الرئيس ريتشارد نيكسون وسط فضيحة ووترجيت,President Richard Nixon resigned in the midst of Watergate's scandal.
هناك متطلبات طبية رئيسية يلزم توفرها في أي متقدم;للخدمة;العسكرية,There are major medical requirements to be met in any advance service; military.
وفوق ذلك كان السلاح السوفييتي مازال موجودا في المنطقة,"And on top of that, the Soviet weapon was still in the area."
وقف بجانب زوجته يتأمل وجهها ويفكر بما سيقوله;لها,"He stood by his wife, looking at her face and thinking about what he would say to her."
لن يسكت حيال ما يجري في الإقليم;,He won't shut up about what's going on in the territory;
لم يكن بين الموظفين أي عربي ولذلك فقد كانت تتصرف وكأنها واحدة منهم، تمازح هذا وتضحك مع ذاك,"There wasn't any Arab in the staff, so she was acting like one of them, kidding and laughing with that."
كانت تسكن فى فيللا صغيرة بشارع منشة مع القطط من عشرات,She lived in a small villa on a street splintered with cats of dozens.
إنني بريء براءة الذئب من دم يوسف;,I'm innocent of the wolf's blood;
يخرجان ليلا لتجنب لقاء الناس;,They go out at night to avoid meeting people;
وزعوا منشورات غير مرخصة وعرضوا لوحات تثير الاستياء,They distributed unlicensed leaflets and showed displeasing paintings.
ثم أدخلوا جنودهم مدججين بكل صنوف السلاح من دبابات وطائرات ومدرعات ورشاشات، وراحوا يدمرون البيوت فوق ساكنيها,"Then they entered their soldiers, heavily armed with tanks, planes, shields and machine guns, and they destroyed houses on top of their occupants."
تخيل صورا جميلة، امرأة حسناء، روضة غناء، سماء، صافية زرقاء;,"Imagine beautiful pictures, beautiful woman, singing kindergarten, sky, blue net;"
امتدح الوزير صمود الموظفين وصبرهم,The Minister praised the persistence and patience of the staff.
قلبه سيتوقف عن النبض في أي لحظة إن لم تجر له عملية جراحية سريعة,His heart will stop beating at any moment if he doesn't have a quick surgery.
قرأت كتبا رائعة وجدتها عند بعض الاخوة المهتمين;بالشأن;العراقي,I read some great books I found with some interested brothers about Iraq.
لقد تعودت أن أحيا بلا انتماء لشيء,I used to live with nothing.
سيتم تركيب كاميرات داخل المدن لمتابعة حركة المرور,In-town traffic cams will be installed.
رأى المصدر أن حزب االله حقيقة سياسية لا يستطيع أحد أن ينكر وجودها,The source saw the Hezbollah as a political fact. No one can deny its existence.
انحدرت السيارة من المرتفع الذي كانت تقف فيه إلى الخلف,The car came down from the height where she was standing back.
برغم كل الحزن الذي أراه في وجهك إلا أن شيئا ما يوحي لي بأنه لا يزال هناك متسع للفرح في قلبك,"Despite all the sadness I see in your face, something tells me there's still room for joy in your heart."
قال في شيء من الخجل: أنا آسف;,He said in something of shame: I'm sorry;
طارت بها الذكريات إلى منزلها في الرياض، إلى الباب الحديدي وقضبانه المذهبة الأطراف الذي طالما وقفت خلفه بعد صلاة العشاء;,"Memories flew to her home in Riyadh, to the iron door and his penises, the limbs that long stood behind after the dinner prayer;"
أنا على يقين أن الدين ما ترك فضيلة إلا ودعا إليها، ولا رذيلة إلا وحذر منها;,"I am certain that religion has left no virtue but to call upon it, and no vice but warn of it;"
أهلا بكل الناس الحلوة المنورة;,"Hello, all sweet people."
تفاهمنا على كثير من الأمور منها فتح المعابر,"We've come to terms with a lot of things, including opening the crossings."
الان تشابكت مناطق الحروب واصبح للمدنيين نصيب الأسد من الضحايا بعد ان كانت تقتصر الضحايا على المجندين,"Now the war zones are intertwined, and civilians have become the lion's share of the victims, after the victims were confined to the recruits."
كلها مؤشرات تستند إليها المعارضة لإلقاء اللوم على الحكومة الاشتراكية التي لم تحقق أي تقدم منذ أربع سنوات,"They are all indicators on which the opposition blames the socialist government, which has not made any progress in four years."
الرواية، باختصار، تعكس صراع البشر الأزلي بين الجبر والاختيار,"The novel, in short, reflects the long-standing struggle of humans between algebra and choice."
يحتوي دخان السجائر على مواد ثبت فعلها المسرطن للخلايا,Cigarette smoke contains materials that have been proven to have been done by the carcinogen.
بدأت الولايات المتحدة تحركا مكثفا لحث باكستان على بذل مزيد من الجهود في مجال ما يسمى الحرب على الإرهاب,The United States has begun an intense movement to urge Pakistan to do more in the area of the so-called war on terror.
نحن نفتقر إلى المفاهيم الأخلاقية التي تتسم بالنظام الكامل الذي يجب التفاعل معه لبناء إنسان حقيقي,We lack ethical concepts that are characterized by the whole system that needs to be interacted with to build a real human being.
كان يقدم له حصيلة تجاربه الطويلة;,He was giving him the results of his long experiences;
عانيت قبل فترة من اختلال في ضغط الدم، فكان يهبط فجأة ومن ثم يعود للصعود المفاجئ تماما كسوق الأسهم,"I had a period of blood pressure disorder, and he was suddenly landing, and then he came back to the sudden rise, just like the stock market."
أثبتت دراسة علمية حديثة أن الأعصاب المسئولة عن الإحساس بالألم تستجيب لأحماض الكبريت الموحودة في الثوم,A recent scientific study has shown that the nerves responsible for the pain respond to single sulfur acids in garlic.
غاندي هو الأب الروحي للهند المستقلة,Gandhi is the spiritual father of independent India.
لن يكون بمقدوره أن يفسر لها ما يفعله، هو نفسه لا يفهم,He won't be able to explain to her what he's doing. He himself doesn't understand.
في لحظة وبكل الصدق وصلت إلى درجة كبيرة من القناعة ورضا النفس بأن كل شيء قسمة ونصيب,"In a moment of truth, I have come to a great degree of conviction and self-satisfaction that everything is divided and divided."
حضر ولي أمر طالبة يشكو من مدرس الفصل الذي حاول معاقبة ابنته لأنها مشاغبة,A student's guardian came complaining about the classroom teacher who tried to punish his daughter because she was a naughty.
كان الجيش الباكستاني أعلن سيطرته التامة على المسجد والمدرسة الملحقة به,The Pakistani army had declared full control of the mosque and the school attached to it.
رأيته في منتصف الليل، كنت نائمة، استيقظت على صوت بكائه، فتحت عيني فرأيته,I saw him in the middle of the night. I was asleep. I woke up to the sound of his crying.
